Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000011883	0	0	0	0	0	0	0	0	1146.90088	2790.8193	1.37937	1.35007
ENSOANG00000011884	0.22495	0.06711	0.17972	0.27827	1.02852	0.5317	0.78673	0.91256	2.02458	0.83193	0.75648	0.84481
ENSOANG00000011885	3.34725	5.88883	5.7259	4.95736	4.15167	6.1771	5.032	7.56413	1.49238	1.42163	3.99865	6.6799
ENSOANG00000011887	9.48805	10.87439	8.27366	8.09098	22.10513	26.58928	3.99122	3.05894	0.64735	0.08222	0.61669	0.65603
ENSOANG00000011888	9.1897	11.75444	1.74877	2.84168	0	0	1.53049	3.99449	0.34753	0	7.72528	16.9057
ENSOANG00000011889	6.26565	11.1404	11.00975	19.47783	3.39948	2.62591	0.38847	1.12678	0	0.1121	7.56448	17.34591
ENSOANG00000011890	1.60629	1.89763	4.45759	8.48514	0.23541	0	0.39014	0.45254	0.35436	0	25.31789	14.1249
ENSOANG00000011891	2.38682	3.25993	4.58035	5.12885	1.84986	1.35467	2.71191	3.00881	2.03477	1.22415	18.02405	9.8763
ENSOANG00000011892	0	0.08594	0	0	0	0	0	0	0	0	1.93717	0.36065
ENSOANG00000011893	3.28278	4.7874	4.17398	3.92194	2.36174	2.64528	2.17444	4.41407	1.77756	2.00678	2.19507	4.47021
ENSOANG00000011894	5.53246	7.66617	7.26418	8.37051	3.89191	2.49101	3.45542	3.7408	1.93544	1.1294	3.82029	5.01818
ENSOANG00000011895	24.74925	38.9636	37.74721	37.11697	33.73245	22.42556	40.03489	29.49421	20.47478	20.17879	30.16735	44.70738
ENSOANG00000011896	0	0	0.47926	0	0	0	0	0	0	0	0	0.17875
ENSOANG00000011897	43.54306	44.32799	35.63638	39.65165	8.11202	6.54195	9.14188	19.02485	8.05927	6.82377	9.30608	20.78948
ENSOANG00000011898	0	0.21601	0.48199	0.78325	0.25457	0.14249	0	0	0.09575	0.1216	4.25827	3.62408
ENSOANG00000011899	0	0	0.11851	0.13755	0	0	0	0	0	0	0	0
ENSOANG00000011900	0	0.30415	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011901	69.34048	39.37508	43.32143	22.29544	39.92964	26.5922	38.45305	32.6742	46.29774	14.442	9.02717	23.32188
ENSOANG00000011902	0.29286	0.21845	0.195	0	0.25745	0.86525	0	0.74251	0	0	6.15412	1.57124
ENSOANG00000011903	0	0	0	0	0	0	0	0	0	0	1.04331	3.77389
ENSOANG00000011904	0	0	0	0	0	0	0	0	0	0	0	0.08813
ENSOANG00000011905	0	0	0	0	0	0	0	0.1706	0	0	0.42421	0.27084
ENSOANG00000011906	0	0	0	0	0	0	0	0	0	0	0	0.05238
ENSOANG00000011907	11.83366	15.76692	14.82473	11.32618	6.93713	6.38252	17.65604	19.76529	16.40969	15.15688	4.73722	6.42503
ENSOANG00000011908	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011909	1.66502	3.97544	5.7666	4.11889	6.4421	3.27977	3.88234	6.75488	3.0855	3.35886	11.19746	9.52949
ENSOANG00000011910	5.13294	9.07542	12.37835	9.40289	8.98436	6.03768	11.84089	8.67665	4.79778	8.50622	24.13099	20.88429
ENSOANG00000011911	1.94257	3.14722	1.18287	1.20134	1.6594	2.18651	4.85292	6.94265	3.89366	3.45223	20.29556	28.19149
ENSOANG00000011912	11.52122	4.26859	7.30292	5.65106	2.23583	2.81729	5.09503	11.81952	4.9432	0.93508	20.37234	16.20067
ENSOANG00000011913	60.91485	56.59536	88.44698	102.84123	34.68361	30.80208	73.80671	75.55048	59.16003	36.88082	66.7068	100.59948
ENSOANG00000011914	0	0	0	0	0	0	0.25309	0	0.22988	0	1.45994	0.38819
ENSOANG00000011915	5.72317	4.35391	6.57715	3.12311	6.31546	1.76841	2.28953	2.27628	3.71355	1.50922	1.41518	7.42618
ENSOANG00000011916	0	0.1764	0	0	1.03947	0.4657	0.68908	0.79929	2239.88042	1494.39415	7.94978	8.98548
ENSOANG00000011917	1.34726	0.32114	0.69019	0.6039	8.44006	7.36476	4.25195	4.58177	1.24515	1.07211	7.70668	10.13754
ENSOANG00000011918	0	0	0.05903	0	0	0	0	0	2.9338	3.94966	18.25956	15.18282
ENSOANG00000011919	0	0	0	0	0	0	0	0.59434	346.47777	323.0091	0.49273	0.89082
ENSOANG00000011920	0.17637	0.05269	0.04703	0	0	0	0	0.11923	0	0.05936	0	0.59947
