Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000015965	0.07533	0.03451	0.03948	0	0	0	0.85881	0.56295	0.09865	0	25.33253	7.323	1.50015	0	11.54313
ENSPTRG00000015966	2.36669	4.98142	4.37977	4.8829	9.63455	5.36476	19.80437	42.35241	0.67844	2.36516	10.77186	14.32568	14.28152	2.03328	2.33549
ENSPTRG00000015967	11.15348	6.37266	12.37766	10.10648	8.61069	9.67433	7.6527	5.88841	11.17733	14.91941	18.68604	21.90767	15.91082	14.71245	8.6815
ENSPTRG00000015968	11.68998	7.7198	14.51112	13.7427	13.36842	15.68693	16.85783	17.03465	8.41577	6.7873	8.42208	10.02458	3.47125	3.02751	18.36347
ENSPTRG00000015969	0	0	0	0	0	0	0	0	0.04055	0	0.04622	0	0	0	0.41888
ENSPTRG00000015970	2.84537	1.6947	2.31118	2.34805	3.48346	3.55247	2.41696	2.79313	1.24295	1.4849	1.23967	2.76855	0.20676	0.30681	3.15538
ENSPTRG00000015971	7.51343	4.57156	6.26836	5.24959	7.977	5.57513	8.39801	6.0129	2.53375	2.09564	3.53164	3.03907	2.00933	1.00451	4.92582
ENSPTRG00000015972	12.78222	12.29851	2.15066	4.16391	19.04255	6.7998	1.63764	0.53461	17.29466	15.91087	0.35172	0.69744	0.11175	0.32636	0.48056
ENSPTRG00000015973	9.45988	3.28471	6.53583	9.59792	9.53536	10.44185	5.19548	3.39086	0.68561	0.70653	2.35515	1.92882	2.92424	1.09768	2.15278
ENSPTRG00000015976	1.35869	1.9539	1.227	1.38016	5.22091	2.23711	0.71028	1.75898	0	0	0	0.00762	0.0087	0.04515	0.17284
ENSPTRG00000015977	0.56542	0.51812	0.76182	0.77767	0.87018	0.96041	1.88413	1.13262	0.03529	0	8.12335	7.37377	7.479	6.26916	0.78934
ENSPTRG00000015978	4.80855	3.12117	3.14998	1.37779	0.98115	1.90595	8.83993	13.29955	5.95151	3.0256	6.58432	2.98802	4.16006	0.64799	4.36842
ENSPTRG00000015979	4.47536	2.44739	3.32885	3.1771	3.95919	3.09011	4.46609	8.03078	2.58564	3.78307	7.26038	8.63841	8.87272	12.68507	7.59794
ENSPTRG00000015981	3.59989	4.23044	3.51378	3.96852	4.27956	3.79072	3.74884	1.64429	6.05009	8.54359	41.93826	47.80935	9.28884	3.31815	34.87509
ENSPTRG00000015983	10.88093	3.17745	4.88755	6.08487	4.80166	6.82507	11.70326	8.83131	8.46164	7.2225	16.84898	10.1339	17.031	11.3441	2.96668
ENSPTRG00000015984	0.11737	0.25104	0.16412	0.10769	0.15337	0.09292	0.09923	0.0732	0	0.01735	0.05844	0.05696	0.01622	0	0
ENSPTRG00000015985	2.43295	1.14063	0.11859	2.33473	0.88671	1.34584	1.97995	0.10578	0.86509	0.17589	2.56377	1.37896	1.78569	0.67108	0.04253
ENSPTRG00000015986	0.45102	0.07289	0.11122	0.25535	0.10393	0.06318	0.17492	0.12405	0.0811	0.05893	0.1189	0.11579	0.18729	0.17169	0.03995
ENSPTRG00000015988	0.08423	0.15438	0.61817	0.11586	0.41251	0.20033	0	0	0.0368	0.03741	0.08388	0	4.33808	0.18163	0.06333
ENSPTRG00000015989	19.96418	7.80443	10.17426	18.20065	13.14035	14.15711	25.07918	29.32416	12.08134	13.09705	18.55888	18.17122	45.99614	17.12988	26.43939
ENSPTRG00000015990	6.37306	7.20468	6.4256	4.95447	10.14333	7.16664	10.9959	9.45548	1.36174	1.52293	4.36332	7.60962	2.8047	2.38979	15.07767
ENSPTRG00000015991	7.02802	4.88862	7.2323	7.55724	9.07371	6.30584	8.48931	9.46775	4.6889	6.96658	6.58533	9.97001	4.77574	6.02722	23.70595
ENSPTRG00000015992	0.02579	0	0.05389	0.03547	0	0.06133	0.02607	0.07218	0.02246	0.01145	0.01284	0.07481	0.18152	3.18841	4.96906
ENSPTRG00000015994	3.89338	2.40614	3.60616	3.86062	4.87758	3.8762	3.90307	2.28556	3.16421	5.8311	5.59039	9.15587	1.31597	2.73316	22.60077
ENSPTRG00000015996	4.19219	2.23344	2.75883	2.9499	2.38721	2.55044	5.19135	7.33721	3.30054	2.77121	9.87854	12.42943	47.40726	43.25113	2.45545
ENSPTRG00000015998	34.72209	12.74332	23.15879	23.38661	34.6788	23.4423	22.59248	29.09332	8.31234	9.86662	10.49795	12.90074	14.43105	11.20459	22.971
ENSPTRG00000015999	6.06363	5.37652	7.90977	7.82979	11.96328	7.36623	9.13674	13.7237	3.58248	6.69401	9.07931	20.28667	4.60116	7.10148	8.41254
ENSPTRG00000016001	0.43571	0.29414	0.09615	0.0316	0.58394	0.16354	0.7209	0.57873	0.36059	0.29534	0.76492	0.71722	1.22823	1.01344	2.99946
ENSPTRG00000016002	0.31271	0.50151	0.16396	0.10747	0.07653	0.18584	0.51539	0.14625	0.17074	0.13889	0.66174	0.36967	0.19482	0.67428	1.29317
ENSPTRG00000016003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSPTRG00000016006	0.56917	0.4637	0.06634	0.26094	0.06199	0.15053	0.54527	0.1182	0.41438	0.14042	42.22984	38.94756	7.06483	7.9776	3.56627
ENSPTRG00000016007	0.04235	0.07762	0.22178	0.17454	0.12429	0.10072	0.21462	0	0.57304	0.33831	2.67598	1.66245	0.07028	0.18247	34.17047
ENSPTRG00000016008	7.33918	5.88461	5.52881	7.06587	8.0419	8.18206	9.53753	6.60419	3.4665	5.5007	11.67109	13.44805	2.72384	4.2529	10.2771
ENSPTRG00000016009	740.72591	716.72705	1114.96986	859.56921	714.90166	929.18819	226.02319	227.56281	4.45802	8.45641	12.05907	30.52812	8.72878	0.32838	10.65028
ENSPTRG00000016010	19.82446	14.13184	20.61634	20.29056	29.62964	24.43132	15.82491	16.19935	53.30955	50.74849	11.08896	12.44608	4.70422	6.63393	5.45867
ENSPTRG00000016011	0	0	0	0	0	0	0	0	0	0	0	0.01876	0	0	0
