Ensembl.Gene.ID	brain_GSM752631	brain_GSM752632	prefrontal cortex_GSM752633	cerebellum_GSM752634	cerebellum_GSM752635	heart_GSM752636	heart_GSM752637	adult mammalian kidney_GSM752638	adult mammalian kidney_GSM752639	liver_GSM752640	liver_GSM752641	testis_GSM752642	testis_GSM752643
ENSMMUG00000032153	0	0	0	0	0	0	1.159	0	0	0	0	0	2.92729
ENSMMUG00000032154	4.22277	3.24276	5.17337	2.3366	3.44503	2.35257	4.74917	6.36688	4.33823	1.88309	9.6814	0.712	0.45973
ENSMMUG00000032155	0	0	0	0	0	0	0.60606	0	0	0	0	0.46563	0
ENSMMUG00000032156	1.82346	2.86959	1.51991	2.27089	1.59096	1.55887	4.35438	3.48315	2.20394	16.55456	3.90075	0.81371	0.42462
ENSMMUG00000032157	0.83866	0.49864	0	0.48428	0.82933	0	0.18412	0	0.26522	0.26015	0	0.42421	0.06643
ENSMMUG00000032158	0.14649	0.14515	0.43245	0.70487	0.14486	0.14194	0.64292	0	0.23153	0	0	2.22294	0.75392
ENSMMUG00000032159	0	0	0	0	0	0	0	0	0	0	0	0	0.15997
ENSMMUG00000032160	0	0	0	0	0.57069	0	0.63321	0	0.91212	0	0	0	0
ENSMMUG00000032161	0	0.24359	0.14514	1.41896	0.72912	0.2382	0	0.38016	1.55361	0.19066	0	0.41432	0.58373
ENSMMUG00000032162	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032163	0	0	0	0	0.64017	0	0	0	0	0	0	0	0.51258
ENSMMUG00000032164	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032165	0.64738	0	0	0	0	0.62726	0.71031	0	0	0	0	0	0
ENSMMUG00000032166	0.60204	0	0	0	0	0.58333	0.66056	0.93098	0.95152	0	0	0	0
ENSMMUG00000032167	0	0	0.38638	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032168	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032169	2.5989	0	0.76721	0	0	0.83938	0.95051	0.66982	0.68459	0.33594	0.17122	0.36514	0.85739
ENSMMUG00000032170	20.45977	12.74285	3.10615	11.25101	9.82692	60.60421	32.71068	53.33361	68.36851	35.36247	20.56518	6.406	10.41392
ENSMMUG00000032171	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032172	4.54411	5.0655	8.21638	2.18658	5.61704	10.73216	14.33432	8.78386	0.89785	2.20263	4.82739	1.19712	0.67462
ENSMMUG00000032173	0.76695	0	0	0	0.37921	0.37156	0.42075	0	0	0	0	0	0.15181
ENSMMUG00000032174	0.44598	0	0	0	0	0	0	0	0	0	0.17629	0.37595	0
ENSMMUG00000032175	0	0	0	0	0	0	0	0	0	0	0	4.10983	9.84335
ENSMMUG00000032176	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032177	0	0	0	0	0	0	0	0	0	0	0	0	0.11034
ENSMMUG00000032178	2.21181	0.97401	0	2.83809	0.72912	0.47622	0.53927	2.28011	1.55361	0.19066	0.09718	2.90037	0.58373
ENSMMUG00000032179	0	0	0	0.39146	0	0	0.44632	0	0	0	0	0	0
ENSMMUG00000032180	6.8316	9.55486	4.58671	14.86508	10.67143	3.45604	3.28357	4.06666	4.39533	2.50845	0.5138	12.7409	7.34776
