Ensembl.Gene.ID	brain_GSM752557	brain_GSM752558	cerebellum_GSM752559	cerebellum_GSM752560	heart_GSM752561	heart_GSM752562	kidney_GSM752563	kidney_GSM752564	liver_GSM752565	liver_GSM752566	testis_GSM752567	testis_GSM752568
ENSGALG00000013352	35.99503	29.02636	25.86297	43.91972	12.01875	22.13165	50.4115	25.99878	20.61746	40.83411	64.28374	33.65752
ENSGALG00000013354	18.10362	19.18158	20.17698	22.27561	9.77176	11.20612	13.15733	15.31876	8.58443	7.7547	121.31415	124.31349
ENSGALG00000013355	7.62427	5.17968	11.36704	10.38342	1.37676	0.23147	0.06536	0.27798	0.09483	0	0.80757	0.83539
ENSGALG00000013356	1.57745	0.99386	0.86482	1.04465	0.97822	0.63654	4.75741	3.26596	6.61193	6.75699	0.7949	0.58732
ENSGALG00000013357	15.10405	14.51299	32.39843	30.16603	7.54227	6.34315	1.69789	1.45609	0.47498	0.32832	1.7472	2.37821
ENSGALG00000013359	14.78463	13.86609	13.30912	13.10515	10.10152	8.84006	13.60492	16.29154	8.63442	8.87217	28.62239	18.33296
ENSGALG00000013362	11.47096	11.52886	1.15932	3.29714	0.10201	0.10861	0.27608	0.26087	0.06673	0.06342	1.49177	0.80833
ENSGALG00000013363	207.50654	188.36211	87.97209	71.1834	0.9065	1.20646	2.14739	1.01421	8.52331	3.80375	2.5255	5.71487
ENSGALG00000013365	56.28334	50.04757	76.07756	82.24078	20.57023	17.71162	65.14583	31.76925	21.31489	20.04488	83.87785	111.44777
ENSGALG00000013366	17.31589	22.59444	24.78197	26.40734	10.20376	11.33772	13.10479	19.97823	10.80264	8.5818	9.7231	11.13219
ENSGALG00000013369	15.88645	15.01997	16.51207	20.28272	6.11632	9.8418	22.89389	23.10549	16.22965	16.1159	41.43825	23.0854
ENSGALG00000013370	12.73261	10.09261	10.29218	15.73006	2.14075	4.78261	7.126	9.15397	0.9641	2.5307	8.72625	2.65495
ENSGALG00000013371	0.0937	0.17173	0	0.36083	0.41298	0.10999	0.46592	0.66013	0.54025	0.38509	6.61586	1.93408
ENSGALG00000013372	0.07027	0.51518	0.17614	0.33847	0.85238	0.66004	2.16773	6.83617	5.72708	2.07125	1.18728	0.33494
