Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000017967	0.37978	0.46354	0.20074	0.08264	3.27538	3.63063	1.82931	1.10841	3.11901	2.96384	496.01021	268.86851
ENSXETG00000017968	3.82221	3.7003	2.58499	2.33336	4.66957	4.19637	1.47645	1.24199	4.33712	8.16717	27.10569	35.76025
ENSXETG00000017969	19.61162	21.96447	6.77588	8.44201	23.77262	21.16059	21.60185	10.6741	32.75506	10.44201	22.89907	15.76302
ENSXETG00000017970	44.98169	46.32281	111.90813	78.61812	119.86877	92.05008	83.46469	55.61326	79.22622	36.54406	90.63611	49.16913
ENSXETG00000017971	39.96367	38.65658	114.22028	66.39271	81.45408	61.97086	19.68324	18.201	57.24072	92.47067	28.22731	47.1062
ENSXETG00000017972	28.82233	27.60698	8.3868	8.05367	3.60958	3.10676	6.8806	5.11542	10.72544	13.32168	0.56389	0.96388
ENSXETG00000017973	0.2961	0	0	0.12884	14.06767	9.07478	35.76045	19.82863	10.00446	5.65707	0.13198	0.0741
ENSXETG00000017975	9.31275	7.75023	7.35581	4.39425	11.36635	11.24844	4.20335	5.84878	25.68213	31.9683	38.6659	24.02844
ENSXETG00000017977	31.68148	27.14523	0.566	0.61764	4.08646	2.26224	3.08582	1.20923	2.53129	1.03897	1.26533	0.7391
ENSXETG00000017979	5.64424	289.75425	0	0.06917	0	0	0	0.07523	1.26845	7.87251	0	0
ENSXETG00000017980	32.7813	33.51567	26.27318	24.7785	28.52571	34.97536	13.35772	15.11624	94.31125	75.34929	37.16354	31.8524
ENSXETG00000017982	122.73118	111.46632	22.05856	19.68309	29.60734	25.61965	24.73486	17.36988	35.33711	30.8794	46.97548	21.0024
ENSXETG00000017985	14.52907	22.5843	51.87822	65.37309	42.60409	42.74471	8.65928	16.18227	41.98605	46.37521	78.32381	133.92124
ENSXETG00000017986	41.56635	35.82406	10.89714	10.46429	10.52169	10.57319	3.58592	4.40291	22.06135	31.2665	12.43955	17.63992
ENSXETG00000017988	0.05412	0	0	0	0	0	0	0	15.54319	11.8837	0.04824	0.21675
ENSXETG00000017989	5.8909	3.77321	1.08948	1.56934	0.67867	0.31581	0.6223	0.56901	1.24126	4.52932	1.1789	2.16689
ENSXETG00000017990	29.2538	20.19642	3.66717	4.14952	8.36606	6.86139	3.53543	3.43999	13.52305	17.09015	18.95536	35.69381
ENSXETG00000017992	8.14076	9.69424	2.4196	1.66292	3.84185	2.24638	3.36473	1.93262	7.4934	12.8765	108.6914	231.65516
ENSXETG00000017994	0.03036	0.09529	0.23191	0.70206	0.13874	1.35215	0.0898	0.25866	0.22799	0.28477	0.01935	0.01738
ENSXETG00000017998	32.14408	29.88039	16.14337	10.34919	15.02755	18.60583	6.5678	6.73525	14.94493	30.58323	26.17054	60.78734
ENSXETG00000018000	6.87648	5.83298	2.88912	2.79924	3.76611	5.38321	2.60233	3.92435	8.19854	13.00336	17.89286	13.21315
ENSXETG00000018002	3.96559	3.35308	1.82151	2.31643	2.40216	5.54199	2.41355	2.36535	7.69909	6.60759	10.43581	12.59281
ENSXETG00000018003	5.61818	5.19617	0	0	0.0766	0.07129	0	0	0.11465	0.43824	0	0
ENSXETG00000018006	8.92078	28.29764	8.17082	7.01597	26.34596	13.82744	50.24998	14.40464	15.85042	8.57545	0.55283	0.81207
ENSXETG00000018007	0	0.23821	0	0.06603	0.21422	0.06645	0.26194	0.07183	0.14249	0	0.20298	0.07598
ENSXETG00000018009	39.15743	36.8231	29.22046	42.71868	23.29901	21.46564	7.32015	4.81906	20.29366	18.94359	0.7284	0.88111
ENSXETG00000018010	0	0	0	0.01183	1.69811	0.91502	0	0	1.51575	2.57089	8.46815	11.18359
ENSXETG00000018012	0.04181	0.13122	0	0	1.59289	1.04331	0.01803	0	0.74549	1.03497	0.20494	0.14653
